protein,label
tr|A0A329SYY8|A0A329SYY8_9STRA,1
tr|D0P387|D0P387_PHYIT,1
sp|P0CU86|BRL05_BRELC,1
tr|A2CLL0|A2CLL0_PHYIN,1
tr|Q572D8|Q572D8_PHYIN,1
NFTP_OFTP_AvrP4,1
tr|D0NS93|D0NS93_PHYIT,1
tr|M4C579|M4C579_HYAAE,1
NFTP_OFTP_AVR-Pita1,1
sp|Q8H6Z4|CRN2_PHYIN,1
tr|G5A7L0|G5A7L0_PHYSP,1
sp|A0A182BSS2|RLR49_PLAVT,1
Avr1k,1
NFTP_OFTP_AvrLm11_Leptosphaeria_maculans,1
tr|D0NKK4|D0NKK4_PHYIT,1
tr|A0A0W8DCK3|A0A0W8DCK3_PHYNI,1
tr|A0A329T585|A0A329T585_9STRA,1
PEC6,1
Lysm1,1
tr|D0NS77|D0NS77_PHYIT,1
sp|P0CV44|RL111_PLAVT,1
NFTP_OFTP_Vdlsc1_Isochorismatase_hydrolase_Verticillium_dahliae_,1
tr|A0A329SHR4|A0A329SHR4_9STRA,1
tr|M4BG46|M4BG46_HYAAE,1
tr|A0A329RYC5|A0A329RYC5_9STRA,1
BAS107,1
tr|F6MF06|F6MF06_HYAAB,1
GIP1,1
tr|G5A7U9|G5A7U9_PHYSP,1
sp|D0RLZ2|CRE18_PHYIT,1
tr|A0A0W8DJ21|A0A0W8DJ21_PHYNI,1
PsXEG1,1
NFIP_OFITP_AvrSr35,1
tr|G4ZYW8|G4ZYW8_PHYSP,1
NFTP_OFTP_SIX8,1
tr|Q572H3|Q572H3_PHYIN,1
tr|A0A3B7TFH9|A0A3B7TFH9_BRELC,1
NFTP_OFTP_AVR2_protein_Cladosporium_fulvum,1
AvrL2-A,1
sp|A0A172M470|RLR25_PLAVT,1
tr|G4YE16|G4YE16_PHYSP,1
tr|A0A329S4B0|A0A329S4B0_9STRA,1
NFTP_OFTP_AVR9_Cladosporium_fulvum,1
tr|A0A329S332|A0A329S332_9STRA,1
NFTP_OFTP_V5TFR9|PHI5403|Avrlmj1,1
ECP7,1
Iug9,1
sp|D0NVS7|CRE15_PHYIT,1
tr|A0A329SB41|A0A329SB41_9STRA,1
tr|A0A329SUX5|A0A329SUX5_9STRA,1
tr|A0A329SR41|A0A329SR41_9STRA,1
CgEP1,1
tr|D0NL39|D0NL39_PHYIT,1
Ave1,1
SIX6,1
tr|A0A329SB40|A0A329SB40_9STRA,1
tr|A0A833WMK0|A0A833WMK0_PHYIN,1
tr|A0A329SZQ2|A0A329SZQ2_9STRA,1
sp|D0NMF6|SFI5_PHYIT,1
tr|Q572J3|Q572J3_PHYIN,1
CSEP0081,1
tr|A0A329RPQ4|A0A329RPQ4_9STRA,1
NFTP_OFTP_M2TW52|PHI4988|Ppt1,1
tr|Q572D6|Q572D6_PHYIN,1
tr|Q7XB16|Q7XB16_PHYIN,1
tr|G4YL36|G4YL36_PHYSP,1
tr|A0A329RYQ8|A0A329RYQ8_9STRA,1
tr|Q572G9|Q572G9_PHYIN,1
sp|A0A172M477|RLR67_PLAVT,1
C_SP7,1
NFTP_EGTP_positive31|1,1
sp|A0A172M490|RLR63_PLAVT,1
tr|F6MEZ9|F6MEZ9_HYAAB,1
tr|G4YN07|G4YN07_PHYSP,1
tr|E0W5D8|E0W5D8_PHYSO,1
NFTP_OFTP_PGTG_08638,1
tr|G4ZK77|G4ZK77_PHYSP,1
BAS1,1
tr|G5AD73|G5AD73_PHYSP,1
NFTP_OFTP_ECP2_Cladosporium_fulvum,1
tr|D0NGU2|D0NGU2_PHYIT,1
tr|D0NGY2|D0NGY2_PHYIT,1
tr|G4Z2E0|G4Z2E0_PHYSP,1
sp|A0A3F2YED3|BLN03_BRELC,1
tr|G4ZJF0|G4ZJF0_PHYSP,1
PevD1,1
tr|A0A329RMP5|A0A329RMP5_9STRA,1
tr|A0A329SI61|A0A329SI61_9STRA,1
tr|A0A3B7TND7|A0A3B7TND7_BRELC,1
tr|Q572I0|Q572I0_PHYIN,1
NFTP_OFTP_AVR-Pik,1
Avr1d,1
tr|A0A329SX39|A0A329SX39_9STRA,1
sp|P0CV53|RL126_PLAVT,1
AvrStb6,1
NFTP_OFTP_VdSCP7_Verticillium_dahliae,1
tr|G4Z777|G4Z777_PHYSP,1
NFTP_EGVP_positive39|1,1
tr|A0A3B7TGA9|A0A3B7TGA9_BRELC,1
sp|A0A172M4N0|RLR28_PLAVT,1
tr|G4YDY4|G4YDY4_PHYSP,1
tr|G4YJ97|G4YJ97_PHYSP,1
C_MoHTR2,1
sp|D0NXM3|SFI7_PHYIT,1
sp|G5A8M1|AV240_PHYSP,1
GP42,1
tr|M4C0V5|M4C0V5_HYAAE,1
sp|P0CV13|RLR47_PLAVT,1
tr|A0A0W8DD52|A0A0W8DD52_PHYNI,1
AvrSr35,1
tr|A0A329SZX5|A0A329SZX5_9STRA,1
tr|A0A833W8V8|A0A833W8V8_PHYIN,1
sp|M4BUU2|AT392_HYAAE,1
tr|G4Z833|G4Z833_PHYSP,1
tr|D0NWD8|D0NWD8_PHYIT,1
tr|Q572F0|Q572F0_PHYIN,1
tr|Q572J2|Q572J2_PHYIN,1
tr|A0A329S239|A0A329S239_9STRA,1
tr|Q572F3|Q572F3_PHYIN,1
tr|M4C486|M4C486_HYAAE,1
NIS1,1
tr|A0A329SV74|A0A329SV74_9STRA,1
NFTP_OFTP_Q0E7H7|PHI2342|Benep2,1
C_MISSP7.6,1
tr|G4Z5H6|G4Z5H6_PHYSP,1
SP7,1
tr|Q572C9|Q572C9_PHYIN,1
tr|B2C6F3|B2C6F3_PHYSO,1
tr|Q572K1|Q572K1_PHYIN,1
sp|G4ZBI3|AV238_PHYSP,1
NFTP_OFTP_Q6PQG3|PHI4252|Epi10,1
tr|M4C5N5|M4C5N5_HYAAE,1
CSEP0105,1
tr|A0A329RS30|A0A329RS30_9STRA,1
NFTP_OFTP_O94100|PHI103PHI1027|Bcpga1Bcpg1,1
AvrLm3,1
tr|Q572H2|Q572H2_PHYIN,1
C_Foa3,1
tr|Q572K8|Q572K8_PHYIN,1
SPD2,1
CSEP0162,1
See1,1
tr|G4Z2U6|G4Z2U6_PHYSP,1
NFTP_OFTP_Q94FS7|PHI665|Pcf,1
CRN1,1
tr|D0ND98|D0ND98_PHYIT,1
tr|M4BDQ6|M4BDQ6_HYAAE,1
NFTP_OFTP_MISSP7,1
tr|A0A2H4X1V4|A0A2H4X1V4_9STRA,1
tr|Q572F7|Q572F7_PHYIN,1
SPD10,1
NFTP_OFTP_SsSSVP1_Sclerotinia_sclerotiorum,1
tr|G1AS86|G1AS86_PHYSO,1
tr|G5A456|G5A456_PHYSP,1
ToxA,1
tr|Q572G3|Q572G3_PHYIN,1
NFTP_OFTP_See1_Ustilago_maydis_,1
tr|Q572I4|Q572I4_PHYIN,1
NFTP_OFTP_O42719|PHI764|Inf2b,1
NFTP_OFTP_Q4WNE1|PHI4017|Cfmc,1
tr|G4Z6D6|G4Z6D6_PHYSP,1
NFTP_OFTP_BAS3,1
tr|A0A329SKM3|A0A329SKM3_9STRA,1
tr|G3C9Q8|G3C9Q8_HYAAE,1
sp|D0N4Y1|RD18_PHYIT,1
tr|Q572G2|Q572G2_PHYIN,1
tr|A0A2H4X1V3|A0A2H4X1V3_9STRA,1
tr|A0A329SB26|A0A329SB26_9STRA,1
NFIP_OFITP_PIIN_03211,1
tr|G4YRE0|G4YRE0_PHYSP,1
CRN2,1
tr|G4YRD8|G4YRD8_PHYSP,1
SIX7,1
SNE1,1
tr|A0A833SV38|A0A833SV38_PHYIN,1
tr|G4Z2U5|G4Z2U5_PHYSP,1
A_Rsp3,1
tr|D0N1Y0|D0N1Y0_PHYIT,1
NFTP_OFTP_Q9P470|PHI257|Gas2,1
tr|D7PC71|D7PC71_PHYSO,1
NFTP_OFTP_Q945T9|PHI653|Gip2,1
NFTP_OFTP_O42720|PHI163PHI5046PHI7602|Cbp1,1
tr|A0A329RQY3|A0A329RQY3_9STRA,1
NFTP_OFTP_Q96TN6|PHI256|Gas1,1
tr|A0A329SV16|A0A329SV16_9STRA,1
sp|A0A172M421|RLR10_PLAVT,1
sp|A0A172M466|RLR30_PLAVT,1
tr|E0W4V8|E0W4V8_PHYSO,1
Avr5,1
sp|E0W5H5|AV262_PHYSO,1
tr|D0NEI3|D0NEI3_PHYIT,1
NFTP_OFTP_SIX1,1
ECP2,1
tr|G4ZQC9|G4ZQC9_PHYSP,1
NFTP_EGTP_positive11|1,1
AvrPiz-t,1
SPD7,1
tr|Q572I1|Q572I1_PHYIN,1
Foa4,1
tr|Q572E1|Q572E1_PHYIN,1
NFTP_OFTP_ECP1_Cladosporium_fulvum,1
tr|A0A329STP2|A0A329STP2_9STRA,1
tr|D0NEY9|D0NEY9_PHYIT,1
NFTP_OFTP_ToxB,1
tr|A0A329RP74|A0A329RP74_9STRA,1
tr|Q572J0|Q572J0_PHYIN,1
sp|P0CV34|RLR91_PLAVT,1
NFTP_OFTP_AVRa1,1
sp|A0A411NN20|RL207_PHYCP,1
tr|G4ZW00|G4ZW00_PHYSP,1
tr|A0A0W8CTF9|A0A0W8CTF9_PHYNI,1
C_Mig2-2,1
tr|F6MEZ4|F6MEZ4_HYAAB,1
NFTP_OFTP_RTP1,1
tr|A0A329S2G6|A0A329S2G6_9STRA,1
tr|Q572I6|Q572I6_PHYIN,1
NFTP_OFTP_AvrPm2,1
tr|A0A329RUA8|A0A329RUA8_9STRA,1
tr|G4ZQ50|G4ZQ50_PHYSP,1
BEC1019,1
SIX2,1
tr|A0A329SH01|A0A329SH01_9STRA,1
PITG_03192,1
tr|A0A329S298|A0A329S298_9STRA,1
tr|G4ZL15|G4ZL15_PHYSP,1
CSEP_09,1
tr|A0A329SFC2|A0A329SFC2_9STRA,1
tr|A0A329SQ74|A0A329SQ74_9STRA,1
sp|G4ZRQ7|AV331_PHYSP,1
NFTP_OFTP_Q8X1D7|PHI2854|Mig2-1,1
NFTP_OFTP_AVR4E_Cladosporium_fulvum,1
tr|Q572G4|Q572G4_PHYIN,1
NFIP_OFITP_EGY17038.1,1
NFTP_OFTP_Zt6,1
sp|P0CU91|RL131_PLAVT,1
tr|A0A329T4D6|A0A329T4D6_9STRA,1
tr|G4ZQC8|G4ZQC8_PHYSP,1
sp|P0CV57|RL138_PLAVT,1
tr|G4ZW63|G4ZW63_PHYSP,1
NFTP_OFTP_P43070|PHI61|Bgl2,1
tr|A0A329RK59|A0A329RK59_9STRA,1
sp|D0NRS4|PSR2_PHYIT,1
ToxB,1
Pslsc1,1
tr|D0NK37|D0NK37_PHYIT,1
tr|T2FGL8|T2FGL8_PHYCP,1
AVR1B-1,1
Avr9,1
tr|D0MS99|D0MS99_PHYIT,1
tr|G5A7M6|G5A7M6_PHYSP,1
tr|A0A3F2YED1|A0A3F2YED1_BRELC,1
tr|A0A329SYV6|A0A329SYV6_9STRA,1
tr|A0A329RYA5|A0A329RYA5_9STRA,1
tr|G3C9N9|G3C9N9_HYAAE,1
PiAvr3b,1
NFTP_EGVP_positive23|1,1
NFTP_OFTP_Pit2_Ustilago_maydis,1
NFTP_OFTP_Tox1,1
sp|P0CU89|RXLAA_PHYIT,1
tr|G4Z492|G4Z492_PHYSP,1
tr|A0A1A7UPA0|A0A1A7UPA0_PHYCP,1
sp|G5A8D2|AV241_PHYSP,1
NFTP_OFTP_Q9HFZ2|PHI184|Rbt4,1
AvrLm11,1
tr|D0NPU9|D0NPU9_PHYIT,1
NFIP_OFITP_FGSG_10999,1
tr|A0A0W8DDG6|A0A0W8DDG6_PHYNI,1
tr|C0LF23|C0LF23_PHYSO,1
SsSSVP1,1
tr|A0A0W8CUK5|A0A0W8CUK5_PHYNI,1
NFTP_EGTP_positive7|1,1
tr|A0A8A1V876|A0A8A1V876_PHYCP,1
tr|G4ZSM2|G4ZSM2_PHYSP,1
NFTP_EGVP_positive22|1,1
NFTP_OFTP_ECP4_Cladosporium_fulvum,1
Avr1a,1
tr|D0N0K0|D0N0K0_PHYIT,1
MoHTR1,1
Pemg1,1
tr|F6MEZ5|F6MEZ5_HYAAB,1
tr|G4Z6J8|G4Z6J8_PHYSP,1
tr|A0A329RFF7|A0A329RFF7_9STRA,1
tr|A0A8A1V6F3|A0A8A1V6F3_PHYCP,1
PsAvr4_6,1
tr|A0A3B7TLU3|A0A3B7TLU3_BRELC,1
tr|A0A411HE94|A0A411HE94_PHYIN,1
NFTP_OFTP_AVR-Pii,1
tr|Q572D1|Q572D1_PHYIN,1
tr|A0A329R8B0|A0A329R8B0_9STRA,1
tr|G4YHS5|G4YHS5_PHYSP,1
tr|A0A329RR69|A0A329RR69_9STRA,1
sp|Q8H6Z6|CRN1_PHYIN,1
BEC1011,1
tr|G4YKQ2|G4YKQ2_PHYSP,1
NFTP_EGTP_positive44|1,1
tr|G5AAL6|G5AAL6_PHYSP,1
NFIP_OFITP_tr|A0A0U2R974|A0A0U2R974_LEPMC,1
CRN63,1
tr|M4BAE7|M4BAE7_HYAAE,1
NFTP_EGTP_positive24|1,1
NFTP_OFTP_Q9UV32|PHI176PHI2852|Mig1,1
tr|G5A858|G5A858_PHYSP,1
tr|A0A2H4X1W5|A0A2H4X1W5_9STRA,1
sp|D0NVB5|AVR1_PHYIT,1
EPI1,1
NFTP_OFTP_N1JK93|PHI2901|Bec1040,1
tr|A0A329RZF5|A0A329RZF5_9STRA,1
NFTP_EGTP_positive41|1,1
C_Pst02549,1
sp|D0NQB4|RXLRS_PHYIT,1
sp|D0NBU6|CRE8_PHYIT,1
tr|A0A329T0P2|A0A329T0P2_9STRA,1
sp|A0A0M5K865|CR108_PHYSO,1
tr|A0A329RGK1|A0A329RGK1_9STRA,1
sp|A0A3B7TLI7|BLR40_BRELC,1
C_Foa4,1
tr|D0NIZ9|D0NIZ9_PHYIT,1
ECP5,1
tr|A0A329S3M2|A0A329S3M2_9STRA,1
Mig2-2,1
tr|D0NQ76|D0NQ76_PHYIT,1
tr|A0A329SVG6|A0A329SVG6_9STRA,1
tr|Q572F9|Q572F9_PHYIN,1
tr|D0NMK8|D0NMK8_PHYIT,1
Tin2,1
CSEP-07,1
sp|A0A3B7TNM4|BLR38_BRELC,1
sp|A0A3B7TLV2|BLN06_BRELC,1
NFTP_EGTP_positive43|1,1
NFTP_EGTP_positive26|1,1
NFTP_OFTP_Ave1_Verticillium_dahliae_,1
sp|A0A172M473|RLR29_PLAVT,1
SIS1,1
NFTP_EGTP_positive27|1,1
tr|D0NN39|D0NN39_PHYIT,1
tr|Q572E0|Q572E0_PHYIN,1
NFTP_OFTP_SIX5,1
tr|A0A8A1VA29|A0A8A1VA29_PHYCP,1
tr|D0NQZ2|D0NQZ2_PHYIT,1
NFTP_OFTP_AvrL567-A,1
SPD9,1
tr|A0A329RGQ1|A0A329RGQ1_9STRA,1
Avr4,1
tr|D0P249|D0P249_PHYIT,1
Avr2,1
NFTP_OFTP_Iug9,1
tr|D0NNY0|D0NNY0_PHYIT,1
lug6,1
NFTP_OFTP_BAS4,1
AvrP123,1
tr|A0A0W8C4H7|A0A0W8C4H7_PHYNI,1
tr|F6MEZ6|F6MEZ6_HYAAB,1
sp|D0N0Z8|RD24_PHYIT,1
tr|D0NIG7|D0NIG7_PHYIT,1
Slp1,1
tr|A0A0W8DGB3|A0A0W8DGB3_PHYNI,1
tr|A4LAA7|A4LAA7_PHYSO,1
GIP2,1
tr|Q572E5|Q572E5_PHYIN,1
NFTP_OFTP_Q5TIP4|PHI2347|Pgip2,1
tr|G5AIW3|G5AIW3_PHYSP,1
NFTP_EGVP_positive6|1,1
FGB1,1
AVR-Pii,1
tr|Q572H1|Q572H1_PHYIN,1
sp|M4C367|ATR13_HYAAE,1
CBEL,1
tr|Q572K9|Q572K9_PHYIN,1
SIX3,1
tr|D0P1F5|D0P1F5_PHYIT,1
NFTP_OFTP_FGL1_Fusarium_graminearum,1
sp|Q945T9|GIP2_PHYSO,1
tr|G5A748|G5A748_PHYSP,1
tr|A0A329SEF5|A0A329SEF5_9STRA,1
Zt6,1
NFTP_OFTP_AVRk1,1
AvrM14,1
tr|E6YE66|E6YE66_HYAAB,1
sp|D0MVC9|EPI1_PHYIT,1
tr|A0A833SXE5|A0A833SXE5_PHYIN,1
PsAvr3b,1
NFTP_OFTP_MoCDIP5,1
tr|E0W5P4|E0W5P4_PHYSO,1
tr|Q572F6|Q572F6_PHYIN,1
tr|Q572F8|Q572F8_PHYIN,1
tr|A0A329RUZ6|A0A329RUZ6_9STRA,1
tr|D0NEY6|D0NEY6_PHYIT,1
NFTP_OFTP_Avr1-CO39,1
NFTP_OFTP_UhAvr1_Ustilago_hordei_,1
tr|A0A329RN01|A0A329RN01_9STRA,1
tr|A0A329S258|A0A329S258_9STRA,1
tr|G4ZL14|G4ZL14_PHYSP,1
NFTP_OFTP_SPD2,1
sp|G4YRX5|PSR1_PHYSP,1
sp|P0CU88|BRL09_BRELC,1
BEC4,1
tr|A7L812|A7L812_PHYSO,1
tr|A0A329RWH1|A0A329RWH1_9STRA,1
tr|G4YDW7|G4YDW7_PHYSP,1
tr|A0A3B7TYL3|A0A3B7TYL3_BRELC,1
sp|P0CU87|BRL08_BRELC,1
NPP1,1
tr|A0A0A1ESP1|A0A0A1ESP1_PHYCP,1
NFTP_OFTP_SIX2,1
tr|A0A0W8DCS3|A0A0W8DCS3_PHYNI,1
ECP1,1
tr|A0A090BFC6|A0A090BFC6_HYAAE,1
NFTP_OFTP_AvrPi9,1
tr|G5A571|G5A571_PHYSP,1
tr|Q572K2|Q572K2_PHYIN,1
NEP1,1
sp|D0NJ41|EPI10_PHYIT,1
tr|D0NEI4|D0NEI4_PHYIT,1
tr|G3C9N7|G3C9N7_HYAAE,1
tr|Q572I8|Q572I8_PHYIN,1
tr|D0P4S6|D0P4S6_PHYIT,1
AVRa1,1
MISSP7,1
tr|D0NF36|D0NF36_PHYIT,1
sp|G4YEI5|ISC1_PHYSP,1
tr|Q572I2|Q572I2_PHYIN,1
Avr3a,1
Tox1,1
tr|A0A329SC58|A0A329SC58_9STRA,1
NFTP_OFTP_AvrLm6_Leptosphaeria_maculans,1
tr|A0A329SX94|A0A329SX94_9STRA,1
tr|D0MX97|D0MX97_PHYIT,1
tr|G5A4H5|G5A4H5_PHYSP,1
NFTP_OFTP_AvrPiz-t,1
tr|G4YHS3|G4YHS3_PHYSP,1
tr|D0NTX2|D0NTX2_PHYIT,1
AVR3a,1
tr|A0A329S9Y3|A0A329S9Y3_9STRA,1
sp|P0CV50|RL122_PLAVT,1
NFTP_OFTP_Pep1_Ustilago_maydis,1
PNPi,1
tr|Q572H6|Q572H6_PHYIN,1
tr|D0NJH4|D0NJH4_PHYIT,1
tr|G5AAR7|G5AAR7_PHYSP,1
Apb73,1
tr|O42719|O42719_PHYIN,1
tr|A0A0W8D4R3|A0A0W8D4R3_PHYNI,1
tr|F6MEZ2|F6MEZ2_HYAAB,1
sp|P0CV00|RLR21_PLAVT,1
SPD4,1
tr|D0N7Q1|D0N7Q1_PHYIT,1
Avrfom2,1
NFTP_OFTP_N1JK84|PHI2896|Bec1005,1
tr|A0A329SYZ0|A0A329SYZ0_9STRA,1
NFTP_EGTP_positive49|1,1
sp|E0W544|AVH23_PHYSO,1
tr|G4ZNS9|G4ZNS9_PHYSP,1
tr|B2C6F4|B2C6F4_PHYSO,1
CRN8,1
tr|G4YP50|G4YP50_PHYSP,1
tr|Q572K0|Q572K0_PHYIN,1
tr|A0A833T392|A0A833T392_PHYIN,1
tr|D0NYQ7|D0NYQ7_PHYIT,1
tr|A0A329SC93|A0A329SC93_9STRA,1
BAS162,1
tr|D0N0Q0|D0N0Q0_PHYIT,1
AvrPi9,1
tr|G5A914|G5A914_PHYSP,1
tr|A0A329SWM8|A0A329SWM8_9STRA,1
tr|A0A329SG52|A0A329SG52_9STRA,1
Avr4E,1
tr|D0N0I7|D0N0I7_PHYIT,1
tr|G4Z9L7|G4Z9L7_PHYSP,1
tr|A0A329SWQ4|A0A329SWQ4_9STRA,1
tr|G4ZMF1|G4ZMF1_PHYSP,1
tr|D0NB59|D0NB59_PHYIT,1
tr|E0W5C6|E0W5C6_PHYSO,1
SIX1,1
tr|F6MF04|F6MF04_HYAAB,1
Rsp3,1
tr|G4YDX6|G4YDX6_PHYSP,1
sp|A0A172M468|RLR27_PLAVT,1
NFTP_OFTP_MoCDIP2,1
tr|G4ZH34|G4ZH34_PHYSP,1
CRN16,1
tr|Q572D2|Q572D2_PHYIN,1
tr|F6MF05|F6MF05_HYAAB,1
NFIP_OFITP_sp|N4VG36.1|NIS1_COLOR,1
tr|G4ZPA4|G4ZPA4_PHYSP,1
